model_name,mean,median,number_per_run,memory,do_compile,batch_size,is_fp16,image_size,cudnn_benchmark
resnet34,3.86,3.88,100,Memory used: 57.642578125 MB,False,1,True,224,False
resnet34,0.81,0.81,1000,Memory used: 43.97216796875 MB,True,1,True,224,False
resnet34,3.78,3.80,100,Memory used: 83.79443359375 MB,False,1,True,640,False
resnet34,2.16,2.16,100,Memory used: 47.99169921875 MB,True,1,True,640,False
resnet34,3.58,3.56,100,Memory used: 66.89501953125 MB,False,4,True,224,False
resnet34,1.39,1.39,100,Memory used: 53.77880859375 MB,True,4,True,224,False
resnet34,8.20,8.19,10,Memory used: 173.91943359375 MB,False,4,True,640,False
resnet34,6.95,6.96,100,Memory used: 69.90380859375 MB,True,4,True,640,False
resnet34,3.82,3.83,100,Memory used: 82.20751953125 MB,False,8,True,224,False
resnet34,2.19,2.19,100,Memory used: 56.95849609375 MB,True,8,True,224,False
resnet34,14.63,14.64,10,Memory used: 296.39501953125 MB,False,8,True,640,False
resnet34,12.51,12.45,10,Memory used: 80.16162109375 MB,True,8,True,640,False
resnet34,4.38,4.38,100,Memory used: 112.02001953125 MB,False,16,True,224,False
resnet34,3.66,3.66,100,Memory used: 61.5205078125 MB,True,16,True,224,False
resnet34,27.39,27.39,10,Memory used: 540.41943359375 MB,False,16,True,640,False
resnet34,23.45,23.46,10,Memory used: 118.9267578125 MB,True,16,True,640,False
resnet34,7.78,7.79,100,Memory used: 173.39501953125 MB,False,32,True,224,False
resnet34,6.54,6.54,100,Memory used: 70.64453125 MB,True,32,True,224,False
resnet34,53.66,53.68,10,Memory used: 1028.41943359375 MB,False,32,True,640,False
resnet34,46.19,46.24,10,Memory used: 194.45703125 MB,True,32,True,640,False
resnet34,14.63,14.60,10,Memory used: 290.91943359375 MB,False,64,True,224,False
resnet34,12.42,12.39,10,Memory used: 88.89306640625 MB,True,64,True,224,False
resnet34,106.13,106.19,10,Memory used: 2002.41943359375 MB,False,64,True,640,False
resnet34,91.94,91.72,1,Memory used: 343.51806640625 MB,True,64,True,640,False
resnext50_32x4d,5.30,5.17,100,Memory used: 188.126953125 MB,False,1,True,224,False
resnext50_32x4d,0.77,0.77,1000,Memory used: 65.0107421875 MB,True,1,True,224,False
resnext50_32x4d,5.54,5.44,100,Memory used: 211.65234375 MB,False,1,True,640,False
resnext50_32x4d,3.28,3.28,100,Memory used: 60.9990234375 MB,True,1,True,640,False
resnext50_32x4d,5.13,4.99,100,Memory used: 200.90234375 MB,False,4,True,224,False
resnext50_32x4d,1.79,1.79,100,Memory used: 59.4658203125 MB,True,4,True,224,False
resnext50_32x4d,15.31,15.27,10,Memory used: 306.08984375 MB,False,4,True,640,False
resnext50_32x4d,11.30,11.27,10,Memory used: 66.8486328125 MB,True,4,True,640,False
resnext50_32x4d,5.44,5.49,100,Memory used: 214.98046875 MB,False,8,True,224,False
resnext50_32x4d,3.30,3.30,100,Memory used: 60.9189453125 MB,True,8,True,224,False
resnext50_32x4d,29.21,29.21,10,Memory used: 478.05859375 MB,False,8,True,640,False
resnext50_32x4d,21.43,21.42,10,Memory used: 85.7001953125 MB,True,8,True,640,False
resnext50_32x4d,8.56,8.54,10,Memory used: 256.18359375 MB,False,16,True,224,False
resnext50_32x4d,6.31,6.31,100,Memory used: 65.43408203125 MB,True,16,True,224,False
resnext50_32x4d,56.47,56.46,10,Memory used: 794.30908203125 MB,False,16,True,640,False
resnext50_32x4d,43.09,42.34,10,Memory used: 123.71533203125 MB,True,16,True,640,False
resnext50_32x4d,15.77,15.67,10,Memory used: 329.90234375 MB,False,32,True,224,False
resnext50_32x4d,11.15,11.14,10,Memory used: 82.77685546875 MB,True,32,True,224,False
resnext50_32x4d,106.60,106.44,1,Memory used: 1532.30908203125 MB,False,32,True,640,False
resnext50_32x4d,80.22,80.16,10,Memory used: 207.37060546875 MB,True,32,True,640,False
resnext50_32x4d,29.56,29.54,10,Memory used: 472.18359375 MB,False,64,True,224,False
resnext50_32x4d,21.71,21.48,10,Memory used: 101.306640625 MB,True,64,True,224,False
resnext50_32x4d,215.93,215.79,1,Memory used: 3006.30908203125 MB,False,64,True,640,False
resnext50_32x4d,163.67,163.67,1,Memory used: 356.431640625 MB,True,64,True,640,False
clip_vision_vit-b/32,5.63,5.53,100,Memory used: 186.30322265625 MB,False,1,True,224,False
clip_vision_vit-b/32,1.25,1.24,100,Memory used: 289.05224609375 MB,True,1,True,224,False
clip_vision_vit-b/32,6.27,6.25,100,Memory used: 189.30810546875 MB,False,4,True,224,False
clip_vision_vit-b/32,1.77,1.77,100,Memory used: 289.21728515625 MB,True,4,True,224,False
clip_vision_vit-b/32,6.62,6.76,100,Memory used: 194.3662109375 MB,False,8,True,224,False
clip_vision_vit-b/32,2.55,2.55,100,Memory used: 202.43994140625 MB,True,8,True,224,False
clip_vision_vit-b/32,6.68,6.68,100,Memory used: 205.9912109375 MB,False,16,True,224,False
clip_vision_vit-b/32,3.85,3.85,100,Memory used: 224.44775390625 MB,True,16,True,224,False
clip_vision_vit-b/32,9.21,9.20,10,Memory used: 229.4912109375 MB,False,32,True,224,False
clip_vision_vit-b/32,6.93,6.94,100,Memory used: 261.85400390625 MB,True,32,True,224,False
clip_vision_vit-b/32,17.05,17.04,10,Memory used: 274.4599609375 MB,False,64,True,224,False
clip_vision_vit-b/32,13.21,13.16,10,Memory used: 437.13525390625 MB,True,64,True,224,False
clip_vision_vit-l/14,10.67,10.33,10,Memory used: 597.763671875 MB,False,1,True,224,False
clip_vision_vit-l/14,4.42,4.43,100,Memory used: 817.56982421875 MB,True,1,True,224,False
clip_vision_vit-l/14,19.47,19.50,10,Memory used: 623.06640625 MB,False,4,True,224,False
clip_vision_vit-l/14,14.97,14.95,10,Memory used: 887.65625 MB,True,4,True,224,False
clip_vision_vit-l/14,36.85,36.86,10,Memory used: 655.9921875 MB,False,8,True,224,False
clip_vision_vit-l/14,28.52,28.56,10,Memory used: 989.158203125 MB,True,8,True,224,False
clip_vision_vit-l/14,66.80,66.78,10,Memory used: 722.5390625 MB,False,16,True,224,False
clip_vision_vit-l/14,55.07,54.93,10,Memory used: 1194.544921875 MB,True,16,True,224,False
clip_vision_vit-l/14,131.06,130.96,1,Memory used: 855.6328125 MB,False,32,True,224,False
clip_vision_vit-l/14,104.06,104.09,1,Memory used: 1418.443359375 MB,True,32,True,224,False
clip_vision_vit-l/14,248.01,248.23,1,Memory used: 1121.8203125 MB,False,64,True,224,False
clip_vision_vit-l/14,209.29,209.52,1,Memory used: 2434.990234375 MB,True,64,True,224,False
clip_vision_vit-rn50,5.90,5.86,100,Memory used: 213.09912109375 MB,False,1,True,224,False
clip_vision_vit-rn50,0.94,0.94,100,Memory used: 90.81103515625 MB,True,1,True,224,False
clip_vision_vit-rn50,5.69,5.55,100,Memory used: 225.06201171875 MB,False,4,True,224,False
clip_vision_vit-rn50,2.08,2.08,100,Memory used: 92.94580078125 MB,True,4,True,224,False
clip_vision_vit-rn50,5.86,5.95,100,Memory used: 243.04638671875 MB,False,8,True,224,False
clip_vision_vit-rn50,3.49,3.49,100,Memory used: 86.71923828125 MB,True,8,True,224,False
clip_vision_vit-rn50,8.46,8.45,10,Memory used: 270.23388671875 MB,False,16,True,224,False
clip_vision_vit-rn50,6.14,6.14,100,Memory used: 99.85986328125 MB,True,16,True,224,False
clip_vision_vit-rn50,15.48,15.48,10,Memory used: 342.79638671875 MB,False,32,True,224,False
clip_vision_vit-rn50,11.20,11.20,10,Memory used: 108.67236328125 MB,True,32,True,224,False
clip_vision_vit-rn50,29.37,29.39,10,Memory used: 448.98388671875 MB,False,64,True,224,False
clip_vision_vit-rn50,21.53,21.52,10,Memory used: 127.10986328125 MB,True,64,True,224,False
resnet34,3.80,3.82,100,Memory used: 57.642578125 MB,False,1,True,224,True
resnet34,3.72,3.78,100,Memory used: 66.89501953125 MB,False,4,True,224,True
resnet34,3.72,3.76,100,Memory used: 82.20751953125 MB,False,8,True,224,True
resnet34,4.26,4.26,100,Memory used: 112.02001953125 MB,False,16,True,224,True
resnet34,7.56,7.56,10,Memory used: 173.64501953125 MB,False,32,True,224,True
resnet34,14.18,14.18,10,Memory used: 290.89501953125 MB,False,64,True,224,True
resnext50_32x4d,5.39,5.43,100,Memory used: 188.509765625 MB,False,1,True,224,True
resnext50_32x4d,5.30,5.32,100,Memory used: 203.15234375 MB,False,4,True,224,True
resnext50_32x4d,5.34,5.36,100,Memory used: 220.98046875 MB,False,8,True,224,True
resnext50_32x4d,8.29,8.29,10,Memory used: 146.59423828125 MB,False,16,True,224,True
resnext50_32x4d,15.54,15.54,10,Memory used: 292.40234375 MB,False,32,True,224,True
resnext50_32x4d,29.27,29.29,10,Memory used: 418.68359375 MB,False,64,True,224,True
clip_vision_vit-b/32,6.18,6.20,100,Memory used: 183.03125 MB,False,1,True,224,True
clip_vision_vit-b/32,6.31,6.20,100,Memory used: 188.5537109375 MB,False,4,True,224,True
clip_vision_vit-b/32,6.66,6.73,100,Memory used: 194.3662109375 MB,False,8,True,224,True
clip_vision_vit-b/32,6.49,6.30,100,Memory used: 205.9912109375 MB,False,16,True,224,True
clip_vision_vit-b/32,9.18,9.20,10,Memory used: 229.4912109375 MB,False,32,True,224,True
clip_vision_vit-b/32,16.94,16.96,10,Memory used: 274.4599609375 MB,False,64,True,224,True
clip_vision_vit-l/14,10.78,11.13,10,Memory used: 597.763671875 MB,False,1,True,224,True
clip_vision_vit-l/14,19.34,19.33,10,Memory used: 623.06640625 MB,False,4,True,224,True
clip_vision_vit-l/14,36.52,36.61,10,Memory used: 655.9921875 MB,False,8,True,224,True
clip_vision_vit-l/14,66.67,66.73,10,Memory used: 722.5390625 MB,False,16,True,224,True
clip_vision_vit-l/14,131.02,131.14,1,Memory used: 855.6328125 MB,False,32,True,224,True
clip_vision_vit-l/14,247.84,247.74,1,Memory used: 1121.8203125 MB,False,64,True,224,True
clip_vision_vit-rn50,5.99,6.11,100,Memory used: 215.03662109375 MB,False,1,True,224,True
clip_vision_vit-rn50,5.90,5.94,100,Memory used: 221.23388671875 MB,False,4,True,224,True
clip_vision_vit-rn50,5.94,6.03,100,Memory used: 238.45263671875 MB,False,8,True,224,True
clip_vision_vit-rn50,8.31,8.32,10,Memory used: 276.35888671875 MB,False,16,True,224,True
clip_vision_vit-rn50,15.28,15.29,10,Memory used: 293.79638671875 MB,False,32,True,224,True
clip_vision_vit-rn50,28.83,28.83,10,Memory used: 473.48388671875 MB,False,64,True,224,True
resnet34,3.69,3.72,100,Memory used: 83.77001953125 MB,False,1,True,640,True
resnet34,7.58,7.58,10,Memory used: 173.91943359375 MB,False,4,True,640,True
resnet34,13.95,13.97,10,Memory used: 296.39501953125 MB,False,8,True,640,True
resnet34,26.73,26.75,10,Memory used: 540.41943359375 MB,False,16,True,640,True
resnet34,52.50,52.50,10,Memory used: 1028.41943359375 MB,False,32,True,640,True
resnet34,103.46,103.49,1,Memory used: 2002.41943359375 MB,False,64,True,640,True
resnext50_32x4d,5.49,5.51,100,Memory used: 221.40234375 MB,False,1,True,640,True
resnext50_32x4d,15.09,15.10,10,Memory used: 281.08984375 MB,False,4,True,640,True
resnext50_32x4d,28.87,28.88,10,Memory used: 428.05859375 MB,False,8,True,640,True
resnext50_32x4d,55.81,55.83,10,Memory used: 794.34423828125 MB,False,16,True,640,True
resnext50_32x4d,105.86,105.86,1,Memory used: 1532.34423828125 MB,False,32,True,640,True
resnext50_32x4d,214.99,214.98,1,Memory used: 3006.30908203125 MB,False,64,True,640,True
