times,mean (ms),std (ms),name,n,batch_size
256,11.770369485020638,0.2569057105574757,torch2.0,256,1
256,11.697274632751942,0.2584939647931605,torch2.0,256,4
256,11.818972416222095,0.4221696290187537,torch2.0,256,8
256,11.5886265411973,0.1656545500736683,torch2.0,256,16
256,11.675736866891384,0.1855165319284424,torch2.0,256,32
256,14.979179948568344,0.8003125549294055,torch2.0,256,64
256,28.78944389522076,2.446303376927972,torch2.0,256,128
256,11.110066436231136,0.0936739015742205,torch2.0+compile,256,1
256,11.620394885540009,0.1011169952107593,torch2.0+compile,256,4
256,11.660011485219002,0.0637869961792603,torch2.0+compile,256,8
256,11.60670444369316,0.2235982246929779,torch2.0+compile,256,16
256,11.686665937304497,0.3029671497642994,torch2.0+compile,256,32
256,14.987421222031116,0.8072768687270582,torch2.0+compile,256,64
256,28.80859375,2.4490519426763058,torch2.0+compile,256,128
256,2.968596061691642,0.0664968538330867,onnx+cuda,256,1
256,3.235077252611518,0.0302993430523201,onnx+cuda,256,4
256,4.178809933364391,0.0237183430726872,onnx+cuda,256,8
256,5.735473241657019,0.0311880030494648,onnx+cuda,256,16
256,8.808081969618797,0.4650990886148065,onnx+cuda,256,32
256,15.829969197511671,0.0547030722373165,onnx+cuda,256,64
256,30.2109494805336,0.046831657527945936,onnx+cuda,256,128
